DOCUMENT STATISTICS
Filename,rfc8446.txt
Text Length (chars),346699
Analyzed At,2026-05-08T23:34:20.731158
Total Segments,3714
  Normative,537
  Informative,2070
  Unknown,1107
High Confidence Segments (≥0.7),725
Medium Confidence Segments,2989
Low Confidence Segments (<0.4),0

SEMANTIC EXTRACTION
Total Profiles,49
Average Profile Confidence,70.4%

TERMINOLOGY
Defined Terms,2
Undefined Terms,48
Definition Coverage,4.0%

CONTRADICTIONS
Total Detected,899

#,Type,Confidence,Statement A,Statement B
1,semantic,100.0%,MUST send these messages in alignment with a record boundary.,field is deprecated and MUST be ignored for all purposes.
708,modality,90.0%,ClientHello or a ServerHello MUST have version 0x0303 (reflecting,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion
709,modality,90.0%,ClientHello or a ServerHello MUST have version 0x0303 (reflecting,MUST NOT be used with TLS.  The per-record nonce for the AEAD
710,modality,90.0%,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with","If the decryption fails, the receiver MUST terminate the connection"
711,modality,90.0%,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with",An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion
712,modality,90.0%,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with","peer with TLSCiphertext.length larger than 2^14 + 256 octets MUST
terminate the connection with a ""record_overflow"" alert.  This limit"
713,modality,90.0%,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with","If a TLS implementation would need to wrap a sequence number, it MUST"
714,modality,90.0%,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with",MUST NOT be used with TLS.  The per-record nonce for the AEAD
715,modality,90.0%,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with",ContentType field before encryption.  Implementations MUST set the
716,modality,90.0%,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with",MUST NOT send Handshake and Alert records that have a zero-length
717,modality,90.0%,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with",receiving implementation MUST terminate the connection with an
718,modality,90.0%,"If the decryption fails, the receiver MUST terminate the connection",An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion
719,modality,90.0%,"If the decryption fails, the receiver MUST terminate the connection",MUST NOT be used with TLS.  The per-record nonce for the AEAD
720,modality,90.0%,"If the decryption fails, the receiver MUST terminate the connection",MUST NOT send Handshake and Alert records that have a zero-length
721,modality,90.0%,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion,"peer with TLSCiphertext.length larger than 2^14 + 256 octets MUST
terminate the connection with a ""record_overflow"" alert.  This limit"
722,modality,90.0%,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion,"If a TLS implementation would need to wrap a sequence number, it MUST"
723,modality,90.0%,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion,MUST NOT be used with TLS.  The per-record nonce for the AEAD
724,modality,90.0%,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion,ContentType field before encryption.  Implementations MUST set the
725,modality,90.0%,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion,MUST NOT send Handshake and Alert records that have a zero-length
726,modality,90.0%,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion,receiving implementation MUST terminate the connection with an
727,modality,90.0%,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion,Implementations MUST limit their scanning to the cleartext returned
728,modality,90.0%,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion,"find a non-zero octet in the cleartext, it MUST terminate the"
729,modality,90.0%,"peer with TLSCiphertext.length larger than 2^14 + 256 octets MUST
terminate the connection with a ""record_overflow"" alert.  This limit",MUST NOT be used with TLS.  The per-record nonce for the AEAD
730,modality,90.0%,"peer with TLSCiphertext.length larger than 2^14 + 256 octets MUST
terminate the connection with a ""record_overflow"" alert.  This limit",MUST NOT send Handshake and Alert records that have a zero-length
731,modality,90.0%,"peer with TLSCiphertext.length larger than 2^14 + 256 octets MUST
terminate the connection with a ""record_overflow"" alert.  This limit",limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14
732,modality,90.0%,"If a TLS implementation would need to wrap a sequence number, it MUST",MUST NOT be used with TLS.  The per-record nonce for the AEAD
733,modality,90.0%,"If a TLS implementation would need to wrap a sequence number, it MUST",MUST NOT send Handshake and Alert records that have a zero-length
734,modality,90.0%,"If a TLS implementation would need to wrap a sequence number, it MUST",limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14
735,modality,90.0%,MUST NOT be used with TLS.  The per-record nonce for the AEAD,ContentType field before encryption.  Implementations MUST set the
736,modality,90.0%,MUST NOT be used with TLS.  The per-record nonce for the AEAD,MUST NOT send Handshake and Alert records that have a zero-length
737,modality,90.0%,MUST NOT be used with TLS.  The per-record nonce for the AEAD,receiving implementation MUST terminate the connection with an
738,modality,90.0%,MUST NOT be used with TLS.  The per-record nonce for the AEAD,Implementations MUST limit their scanning to the cleartext returned
739,modality,90.0%,MUST NOT be used with TLS.  The per-record nonce for the AEAD,"find a non-zero octet in the cleartext, it MUST terminate the"
740,modality,90.0%,MUST NOT be used with TLS.  The per-record nonce for the AEAD,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14
741,modality,90.0%,MUST NOT be used with TLS.  The per-record nonce for the AEAD,"must still be handled at the TLS layer, though.  Later documents may"
742,modality,90.0%,MUST NOT be used with TLS.  The per-record nonce for the AEAD,clients MUST forget the secret values and keys established in failed
743,modality,90.0%,MUST NOT be used with TLS.  The per-record nonce for the AEAD,AlertLevel=fatal and MUST be treated as error alerts when received
744,modality,90.0%,ContentType field before encryption.  Implementations MUST set the,MUST NOT send Handshake and Alert records that have a zero-length
745,modality,90.0%,ContentType field before encryption.  Implementations MUST set the,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14
746,modality,90.0%,MUST NOT send Handshake and Alert records that have a zero-length,receiving implementation MUST terminate the connection with an
747,modality,90.0%,MUST NOT send Handshake and Alert records that have a zero-length,Implementations MUST limit their scanning to the cleartext returned
748,modality,90.0%,MUST NOT send Handshake and Alert records that have a zero-length,"find a non-zero octet in the cleartext, it MUST terminate the"
749,modality,90.0%,MUST NOT send Handshake and Alert records that have a zero-length,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14
750,modality,90.0%,MUST NOT send Handshake and Alert records that have a zero-length,"must still be handled at the TLS layer, though.  Later documents may"
751,modality,90.0%,MUST NOT send Handshake and Alert records that have a zero-length,clients MUST forget the secret values and keys established in failed
752,modality,90.0%,MUST NOT send Handshake and Alert records that have a zero-length,AlertLevel=fatal and MUST be treated as error alerts when received
753,modality,90.0%,MUST NOT send Handshake and Alert records that have a zero-length,"length) MUST terminate the connection with a ""decode_error"" alert."
754,modality,90.0%,MUST NOT send Handshake and Alert records that have a zero-length,"MUST terminate the connection with an ""illegal_parameter"" alert."
755,modality,90.0%,receiving implementation MUST terminate the connection with an,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14
756,modality,90.0%,Implementations MUST limit their scanning to the cleartext returned,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14
757,modality,90.0%,"find a non-zero octet in the cleartext, it MUST terminate the",limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14
758,modality,90.0%,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14,"must still be handled at the TLS layer, though.  Later documents may"
759,modality,90.0%,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14,clients MUST forget the secret values and keys established in failed
760,modality,90.0%,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14,AlertLevel=fatal and MUST be treated as error alerts when received
761,modality,90.0%,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14,"length) MUST terminate the connection with a ""decode_error"" alert."
762,modality,90.0%,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14,"MUST terminate the connection with an ""illegal_parameter"" alert."
763,modality,90.0%,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14,The client and the server must share knowledge that the connection is
764,modality,90.0%,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14,"close_notify:  This alert notifies the recipient that the sender will
not send any more messages on this connection.  Any data received
after a closure alert has been received MUST be ignored."
765,modality,90.0%,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14,alert has been received MUST be ignored.  If a transport-level close
766,modality,90.0%,limitations: the full encoded TLSInnerPlaintext MUST NOT exceed 2^14,"Each party MUST send a ""close_notify"" alert before closing its write"
767,modality,90.0%,"deployments will maintain state at that level.  Therefore, in normal
operation, clients will not know which, if any, of these mechanisms
servers actually implement and hence MUST only send early data which","also implement data stores with false positives, such as Bloom
filters, in which case they MUST respond to apparent replay by
rejecting 0-RTT but MUST NOT abort the handshake."
768,modality,90.0%,only a limited number of times.  The server MUST ensure that any,"also implement data stores with false positives, such as Bloom
filters, in which case they MUST respond to apparent replay by
rejecting 0-RTT but MUST NOT abort the handshake."
769,modality,90.0%,"also implement data stores with false positives, such as Bloom
filters, in which case they MUST respond to apparent replay by
rejecting 0-RTT but MUST NOT abort the handshake.",A TLS-compliant application MUST support digital signatures with
770,modality,90.0%,"also implement data stores with false positives, such as Bloom
filters, in which case they MUST respond to apparent replay by
rejecting 0-RTT but MUST NOT abort the handshake.",TLS-compliant application MUST support key exchange with secp256r1
771,modality,90.0%,"also implement data stores with false positives, such as Bloom
filters, in which case they MUST respond to apparent replay by
rejecting 0-RTT but MUST NOT abort the handshake.","In the absence of an application profile standard specifying
otherwise, a TLS-compliant application MUST implement the following"
772,modality,90.0%,"also implement data stores with false positives, such as Bloom
filters, in which case they MUST respond to apparent replay by
rejecting 0-RTT but MUST NOT abort the handshake.",All implementations MUST send and use these extensions when offering
773,modality,90.0%,"-  If containing a ""supported_groups"" extension, it MUST also contain",understand MUST NOT process any messages beyond that ClientHello.
774,modality,90.0%,"requirements MUST abort the handshake with a ""missing_extension""",understand MUST NOT process any messages beyond that ClientHello.
775,modality,90.0%,"Additionally, all implementations MUST support the use of the",understand MUST NOT process any messages beyond that ClientHello.
776,modality,90.0%,MUST follow.  It also applies to earlier versions of TLS.,understand MUST NOT process any messages beyond that ClientHello.
777,modality,90.0%,"For this to work, implementations MUST correctly handle extensible",understand MUST NOT process any messages beyond that ClientHello.
778,modality,90.0%,-  A client sending a ClientHello MUST support all parameters,understand MUST NOT process any messages beyond that ClientHello.
779,modality,90.0%,-  A server receiving a ClientHello MUST correctly ignore all,understand MUST NOT process any messages beyond that ClientHello.
780,modality,90.0%,-  A server receiving a ClientHello MUST correctly ignore all,TLS 1.3 implementations MUST NOT send them but might receive them
781,modality,90.0%,"-  A middlebox which terminates a TLS connection MUST behave as a
compliant TLS server (to the original client), including having a",understand MUST NOT process any messages beyond that ClientHello.
782,modality,90.0%,"-  A middlebox which terminates a TLS connection MUST behave as a
compliant TLS server (to the original client), including having a",TLS 1.3 implementations MUST NOT send them but might receive them
783,modality,90.0%,"-  A middlebox which terminates a TLS connection MUST behave as a
compliant TLS server (to the original client), including having a",versions of TLS and MUST NOT be offered or negotiated by TLS 1.3
784,modality,90.0%,"compliant TLS client (to the original server), including verifying
the original server's certificate.  In particular, it MUST
generate its own ClientHello containing only parameters it
understands, and it MUST generate a fresh ServerHello random",understand MUST NOT process any messages beyond that ClientHello.
785,modality,90.0%,"compliant TLS client (to the original server), including verifying
the original server's certificate.  In particular, it MUST
generate its own ClientHello containing only parameters it
understands, and it MUST generate a fresh ServerHello random",TLS 1.3 implementations MUST NOT send them but might receive them
786,modality,90.0%,"compliant TLS client (to the original server), including verifying
the original server's certificate.  In particular, it MUST
generate its own ClientHello containing only parameters it
understands, and it MUST generate a fresh ServerHello random",versions of TLS and MUST NOT be offered or negotiated by TLS 1.3
787,modality,90.0%,understand MUST NOT process any messages beyond that ClientHello.,"It MUST forward all subsequent traffic unmodified.  Otherwise, it"
788,modality,90.0%,understand MUST NOT process any messages beyond that ClientHello.,TLS 1.3 implementations MUST NOT send them but might receive them
789,modality,90.0%,understand MUST NOT process any messages beyond that ClientHello.,versions of TLS and MUST NOT be offered or negotiated by TLS 1.3
790,modality,90.0%,"It MUST forward all subsequent traffic unmodified.  Otherwise, it",TLS 1.3 implementations MUST NOT send them but might receive them
791,modality,90.0%,"It MUST forward all subsequent traffic unmodified.  Otherwise, it",versions of TLS and MUST NOT be offered or negotiated by TLS 1.3
792,modality,90.0%,TLS 1.3 implementations MUST NOT send them but might receive them,versions of TLS and MUST NOT be offered or negotiated by TLS 1.3
793,modality,90.0%,TLS 1.3 implementations MUST NOT send them but might receive them,MUST NOT use TLS in such a way absent explicit configuration or a
794,modality,90.0%,versions of TLS and MUST NOT be offered or negotiated by TLS 1.3,MUST NOT use TLS in such a way absent explicit configuration or a
795,modality,90.0%,MUST NOT use TLS in such a way absent explicit configuration or a,"(or is not acceptable), the client MUST abort the handshake with a"
796,modality,90.0%,MUST NOT use TLS in such a way absent explicit configuration or a,"""supported_versions"" extension is present, the server MUST negotiate"
797,modality,90.0%,MUST NOT use TLS in such a way absent explicit configuration or a,"""supported_versions"" extension is not present, the server MUST
negotiate the minimum of ClientHello.legacy_version and TLS 1.2.  For"
798,modality,90.0%,MUST NOT use TLS in such a way absent explicit configuration or a,"ClientHello.legacy_version, the server MUST abort the handshake with"
799,modality,90.0%,MUST NOT use TLS in such a way absent explicit configuration or a,"TLS 1.x versions in this field, but its value MUST always be ignored."
800,modality,90.0%,"(or is not acceptable), the client MUST abort the handshake with a","reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason."
801,modality,90.0%,"(or is not acceptable), the client MUST abort the handshake with a",Ciphers with a strength less than 112 bits MUST NOT be offered or
802,modality,90.0%,"""supported_versions"" extension is present, the server MUST negotiate","reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason."
803,modality,90.0%,"""supported_versions"" extension is present, the server MUST negotiate",Ciphers with a strength less than 112 bits MUST NOT be offered or
804,modality,90.0%,"""supported_versions"" extension is present, the server MUST negotiate","reasons enumerated in [RFC7568], and it MUST NOT be negotiated for"
805,modality,90.0%,"""supported_versions"" extension is not present, the server MUST
negotiate the minimum of ClientHello.legacy_version and TLS 1.2.  For","reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason."
806,modality,90.0%,"""supported_versions"" extension is not present, the server MUST
negotiate the minimum of ClientHello.legacy_version and TLS 1.2.  For",Ciphers with a strength less than 112 bits MUST NOT be offered or
807,modality,90.0%,"""supported_versions"" extension is not present, the server MUST
negotiate the minimum of ClientHello.legacy_version and TLS 1.2.  For","reasons enumerated in [RFC7568], and it MUST NOT be negotiated for"
808,modality,90.0%,"""supported_versions"" extension is not present, the server MUST
negotiate the minimum of ClientHello.legacy_version and TLS 1.2.  For","reasons enumerated in [RFC6176], and it MUST NOT be negotiated for"
809,modality,90.0%,"legacy_version is TLS 1.0, the server will proceed with a TLS 1.0",Ciphers with a strength less than 112 bits MUST NOT be offered or
810,modality,90.0%,"ClientHello.legacy_version, the server MUST abort the handshake with","reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason."
811,modality,90.0%,"ClientHello.legacy_version, the server MUST abort the handshake with",Ciphers with a strength less than 112 bits MUST NOT be offered or
812,modality,90.0%,"ClientHello.legacy_version, the server MUST abort the handshake with","reasons enumerated in [RFC7568], and it MUST NOT be negotiated for"
813,modality,90.0%,"ClientHello.legacy_version, the server MUST abort the handshake with","reasons enumerated in [RFC6176], and it MUST NOT be negotiated for"
814,modality,90.0%,"ClientHello.legacy_version, the server MUST abort the handshake with",Implementations MUST NOT send an SSL version 2.0 compatible
815,modality,90.0%,"ClientHello.legacy_version, the server MUST abort the handshake with",CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later
816,modality,90.0%,"TLS 1.x versions in this field, but its value MUST always be ignored.","reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason."
817,modality,90.0%,"TLS 1.x versions in this field, but its value MUST always be ignored.",Ciphers with a strength less than 112 bits MUST NOT be offered or
818,modality,90.0%,"TLS 1.x versions in this field, but its value MUST always be ignored.","reasons enumerated in [RFC7568], and it MUST NOT be negotiated for"
819,modality,90.0%,"TLS 1.x versions in this field, but its value MUST always be ignored.","reasons enumerated in [RFC6176], and it MUST NOT be negotiated for"
820,modality,90.0%,"TLS 1.x versions in this field, but its value MUST always be ignored.",Implementations MUST NOT send an SSL version 2.0 compatible
821,modality,90.0%,"TLS 1.x versions in this field, but its value MUST always be ignored.",CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later
822,modality,90.0%,"will respond to the ClientHello with an older ServerHello, but it
will not correctly skip the 0-RTT data and will fail to complete the",Ciphers with a strength less than 112 bits MUST NOT be offered or
823,modality,90.0%,A client that attempts to send 0-RTT data MUST fail a connection if,"reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason."
824,modality,90.0%,A client that attempts to send 0-RTT data MUST fail a connection if,Ciphers with a strength less than 112 bits MUST NOT be offered or
825,modality,90.0%,A client that attempts to send 0-RTT data MUST fail a connection if,"reasons enumerated in [RFC7568], and it MUST NOT be negotiated for"
826,modality,90.0%,A client that attempts to send 0-RTT data MUST fail a connection if,"reasons enumerated in [RFC6176], and it MUST NOT be negotiated for"
827,modality,90.0%,A client that attempts to send 0-RTT data MUST fail a connection if,Implementations MUST NOT send an SSL version 2.0 compatible
828,modality,90.0%,A client that attempts to send 0-RTT data MUST fail a connection if,CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later
829,modality,90.0%,A client that attempts to send 0-RTT data MUST fail a connection if,Implementations MUST NOT send any records with a version less than
830,modality,90.0%,"change_cipher_spec at any time during the handshake, as they must be","reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason."
831,modality,90.0%,"change_cipher_spec at any time during the handshake, as they must be",Ciphers with a strength less than 112 bits MUST NOT be offered or
832,modality,90.0%,"change_cipher_spec at any time during the handshake, as they must be","reasons enumerated in [RFC7568], and it MUST NOT be negotiated for"
833,modality,90.0%,"change_cipher_spec at any time during the handshake, as they must be","reasons enumerated in [RFC6176], and it MUST NOT be negotiated for"
834,modality,90.0%,"change_cipher_spec at any time during the handshake, as they must be",Implementations MUST NOT send an SSL version 2.0 compatible
835,modality,90.0%,"change_cipher_spec at any time during the handshake, as they must be",CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later
836,modality,90.0%,"change_cipher_spec at any time during the handshake, as they must be",Implementations MUST NOT send any records with a version less than
837,modality,90.0%,"reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason.",Ciphers with a strength less than 112 bits MUST NOT be offered or
838,modality,90.0%,"reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason.","reasons enumerated in [RFC7568], and it MUST NOT be negotiated for"
839,modality,90.0%,"reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason.","reasons enumerated in [RFC6176], and it MUST NOT be negotiated for"
840,modality,90.0%,"reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason.",Implementations MUST NOT send an SSL version 2.0 compatible
841,modality,90.0%,"reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason.",CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later
842,modality,90.0%,"reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason.",ServerHello.legacy_version set to 0x0300 MUST abort the handshake
843,modality,90.0%,"reasons cited in [RFC7465].  Implementations MUST NOT offer or
negotiate RC4 cipher suites for any version of TLS for any reason.",Implementations MUST NOT send any records with a version less than
844,modality,90.0%,Ciphers with a strength less than 112 bits MUST NOT be offered or,"reasons enumerated in [RFC7568], and it MUST NOT be negotiated for"
845,modality,90.0%,Ciphers with a strength less than 112 bits MUST NOT be offered or,"reasons enumerated in [RFC6176], and it MUST NOT be negotiated for"
846,modality,90.0%,Ciphers with a strength less than 112 bits MUST NOT be offered or,Implementations MUST NOT send an SSL version 2.0 compatible
847,modality,90.0%,Ciphers with a strength less than 112 bits MUST NOT be offered or,CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later
848,modality,90.0%,Ciphers with a strength less than 112 bits MUST NOT be offered or,ServerHello.legacy_version set to 0x0300 MUST abort the handshake
849,modality,90.0%,Ciphers with a strength less than 112 bits MUST NOT be offered or,Implementations MUST NOT send any records with a version less than
850,modality,90.0%,"reasons enumerated in [RFC7568], and it MUST NOT be negotiated for","reasons enumerated in [RFC6176], and it MUST NOT be negotiated for"
851,modality,90.0%,"reasons enumerated in [RFC7568], and it MUST NOT be negotiated for",Implementations MUST NOT send an SSL version 2.0 compatible
852,modality,90.0%,"reasons enumerated in [RFC7568], and it MUST NOT be negotiated for",CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later
853,modality,90.0%,"reasons enumerated in [RFC7568], and it MUST NOT be negotiated for",ServerHello.legacy_version set to 0x0300 MUST abort the handshake
854,modality,90.0%,"reasons enumerated in [RFC7568], and it MUST NOT be negotiated for",Implementations MUST NOT send any records with a version less than
855,modality,90.0%,"reasons enumerated in [RFC6176], and it MUST NOT be negotiated for",Implementations MUST NOT send an SSL version 2.0 compatible
856,modality,90.0%,"reasons enumerated in [RFC6176], and it MUST NOT be negotiated for",CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later
857,modality,90.0%,"reasons enumerated in [RFC6176], and it MUST NOT be negotiated for",ServerHello.legacy_version set to 0x0300 MUST abort the handshake
858,modality,90.0%,"reasons enumerated in [RFC6176], and it MUST NOT be negotiated for",Implementations MUST NOT send any records with a version less than
859,modality,90.0%,"reasons enumerated in [RFC6176], and it MUST NOT be negotiated for",MUST NOT combine external PSKs with certificate-based authentication
860,modality,90.0%,Implementations MUST NOT send an SSL version 2.0 compatible,CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later
861,modality,90.0%,Implementations MUST NOT send an SSL version 2.0 compatible,ServerHello.legacy_version set to 0x0300 MUST abort the handshake
862,modality,90.0%,Implementations MUST NOT send an SSL version 2.0 compatible,Implementations MUST NOT send any records with a version less than
863,modality,90.0%,Implementations MUST NOT send an SSL version 2.0 compatible,MUST NOT combine external PSKs with certificate-based authentication
864,modality,90.0%,Implementations MUST NOT send an SSL version 2.0 compatible,"to be used as channel bindings, the exported value MUST be large"
865,modality,90.0%,CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later,ServerHello.legacy_version set to 0x0300 MUST abort the handshake
866,modality,90.0%,CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later,Implementations MUST NOT send any records with a version less than
867,modality,90.0%,CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later,MUST NOT combine external PSKs with certificate-based authentication
868,modality,90.0%,CLIENT-HELLO.  Implementations MUST NOT negotiate TLS 1.3 or later,"to be used as channel bindings, the exported value MUST be large"
869,modality,90.0%,ServerHello.legacy_version set to 0x0300 MUST abort the handshake,Implementations MUST NOT send any records with a version less than
870,modality,90.0%,ServerHello.legacy_version set to 0x0300 MUST abort the handshake,MUST NOT combine external PSKs with certificate-based authentication
871,modality,90.0%,Implementations MUST NOT send any records with a version less than,MUST NOT combine external PSKs with certificate-based authentication
872,modality,90.0%,Implementations MUST NOT send any records with a version less than,"to be used as channel bindings, the exported value MUST be large"
873,modality,90.0%,MUST NOT combine external PSKs with certificate-based authentication,"to be used as channel bindings, the exported value MUST be large"
874,modality,90.0%,"to be used as channel bindings, the exported value MUST be large",Application protocols MUST NOT use 0-RTT data without a profile that
875,modality,90.0%,Application protocols MUST NOT use 0-RTT data without a profile that,"In addition, to avoid accidental misuse, TLS implementations MUST NOT
enable 0-RTT (either sending or accepting) unless specifically
requested by the application and MUST NOT automatically resend 0-RTT"
876,modality,90.0%,Application protocols MUST NOT use 0-RTT data without a profile that,"processing, TLS implementations MUST provide a way for the"
877,modality,90.0%,Application protocols MUST NOT use 0-RTT data without a profile that,"both TLS 1.2 and TLS 1.3 must be used with only one hash in TLS 1.3,"
878,modality,90.0%,"In addition, to avoid accidental misuse, TLS implementations MUST NOT
enable 0-RTT (either sending or accepting) unless specifically
requested by the application and MUST NOT automatically resend 0-RTT","processing, TLS implementations MUST provide a way for the"
879,modality,90.0%,"In addition, to avoid accidental misuse, TLS implementations MUST NOT
enable 0-RTT (either sending or accepting) unless specifically
requested by the application and MUST NOT automatically resend 0-RTT","both TLS 1.2 and TLS 1.3 must be used with only one hash in TLS 1.3,"
880,semantic,90.0%,"certificates.  The client MUST check EncryptedExtensions for the
presence of any forbidden extensions and if any are found MUST abort",The client MUST send a Certificate message if and only if the server
881,semantic,89.6%,extension to the client.  Clients MUST NOT act upon any information,"correspond to a group which was provided in the ""key_share"" extension"
882,semantic,89.5%,transmitted by the client.  The server MUST generate a fresh value,messages for a given response MUST appear consecutively on the wire
883,semantic,88.6%,the client MUST send an EndOfEarlyData message after receiving the,transmitted by the client.  The server MUST generate a fresh value
884,semantic,88.4%,"receives any other value, it MUST terminate the connection with an","ClientHello message or after the peer's Finished message, it MUST be"
885,semantic,87.7%,"0x0303 (TLS 1.2).  Clients MUST check for this extension prior to
processing the rest of the ServerHello (although they will have to","ClientHello).  When sending the new ClientHello, the client MUST copy"
886,semantic,86.9%,"(or is not acceptable), the client MUST abort the handshake with a","""supported_versions"" extension is not present, the server MUST
negotiate the minimum of ClientHello.legacy_version and TLS 1.2.  For"
887,semantic,86.2%,The client MUST send a Certificate message if and only if the server,"well.  Extensions in the Certificate message from the server MUST
correspond to ones from the ClientHello message.  Extensions in
the Certificate message from the client MUST correspond to"
888,semantic,85.9%,validate using any signature algorithm using an MD5 hash MUST abort,The receiver of a CertificateVerify message MUST verify the signature
889,semantic,85.6%,"For externally established PSKs, the Hash algorithm MUST be set when","value is not present or does not validate, the server MUST abort the"
890,semantic,84.4%,"""supported_versions"" extension is not present, the server MUST
negotiate the minimum of ClientHello.legacy_version and TLS 1.2.  For",A client that attempts to send 0-RTT data MUST fail a connection if
891,semantic,84.4%,Clients MUST verify that the server's selected_identity is within the,Servers MUST check that it is the last extension and otherwise fail
892,semantic,83.6%,response to a ClientHello MUST set the last 8 bytes of their Random,and which receives a TLS 1.3 ServerHello during renegotiation MUST
893,semantic,83.5%,The receiver of a CertificateVerify message MUST verify the signature,"Recipients of Finished messages MUST verify that the contents are
correct and if incorrect MUST terminate the connection with a"
894,semantic,82.6%,"authenticated, this has to be provisioned by the application layer.","(which processes the data immediately) and another cluster which will
fall back to 1-RTT and process the data upon application-layer"
895,semantic,81.7%,inherent replay protections for 0-RTT data.  There are two potential,"still require consistent storage for anti-replay of 0-RTT data, as"
896,semantic,80.9%,"negotiation, then this will happen automatically).  Upon receiving
the ServerHello, clients MUST check that the cipher suite supplied in","""supported_versions"" extension MUST be retained in the ServerHello,
and a client MUST abort the handshake with an ""illegal_parameter"""
897,semantic,80.8%,early data MUST be the first PSK listed in the client's,"In order to accept early data, the server MUST have accepted a PSK"
